ID,DLC,DATA,TIMESTAMP,Release Time,Period,Jitter
0XA4,2,cc 00,92.1977,92.19704686403954,5,0.0
0XA5,1,20,92.3031,92.30278576353224,5,0.0
0XB2,1,25,93.1016,93.10147569319332,10,0.0
0XA0,1,d7,93.4446,93.44421851525048,5,0.0
0XA3,1,85,93.6536,93.6530992777164,5,0.0
0XB4,2,aa 7c,96.1192,96.11897084814144,10,0.0
0XA1,2,30 80,96.3977,96.3974578496668,5,0.0
0XA4,2,cc 00,97.1977,97.19704686403954,5,0.0
0XA5,1,20,97.3031,97.30278576353224,5,0.0
0XA0,1,d7,98.4446,98.44421851525048,5,0.0
0XA3,1,85,98.6536,98.6530992777164,5,0.0
0XB0,6,f8 cf 9b f4 b7 6f,100.4052,100.40484378180777,10,0.0
0XB3,2,07 2f,100.6232,100.62279588021545,10,0.0
0XA1,2,30 80,101.3977,101.3974578496668,5,0.0
0XC5,1,71,101.9111,101.9106709150239,100,0.0
0XA4,2,cc 00,102.1977,102.19704686403954,5,0.0
0XA5,1,20,102.3031,102.30278576353224,5,0.0
0XB2,1,25,103.1016,103.10147569319332,10,0.0
0XA0,1,d7,103.4446,103.44421851525048,5,0.0
0XA3,1,85,103.6536,103.6530992777164,5,0.0
0XB4,2,aa 7c,106.1192,106.11897084814144,10,0.0
0XA1,2,30 80,106.3977,106.3974578496668,5,0.0
0XA4,2,cc 00,107.1977,107.19704686403954,5,0.0
0XA5,1,20,107.3031,107.30278576353224,5,0.0
0XA0,1,d7,108.4446,108.44421851525048,5,0.0
0XA3,1,85,108.6536,108.6530992777164,5,0.0
0XC2,4,a9 f1 33 b5,108.9887,108.98838287967993,100,0.0
0XC1,1,4b,109.8731,109.87259201033012,100,0.0
0XB0,6,f8 cf 9b f4 b7 6f,110.4052,110.40484378180777,10,0.0
0XB3,2,07 2f,110.6232,110.62279588021545,10,0.0
0XA1,2,30 80,111.3977,111.3974578496668,5,0.0
0XA4,2,cc 00,112.1977,112.19704686403954,5,0.0
0XA5,1,20,112.3031,112.30278576353224,5,0.0
0XB2,1,25,113.1016,113.10147569319332,10,0.0
0XA0,1,d7,113.4446,113.44421851525048,5,0.0
0XA3,1,85,113.6536,113.6530992777164,5,0.0
0XB4,2,aa 7c,116.1192,116.11897084814144,10,0.0
0XA1,2,30 80,116.3977,116.3974578496668,5,0.0
0XA4,2,cc 00,117.1977,117.19704686403954,5,0.0
0XA5,1,20,117.3031,117.30278576353224,5,0.0
0XA0,1,d7,118.4446,118.44421851525048,5,0.0
0XA3,1,85,118.6536,118.6530992777164,5,0.0
0XB0,6,f8 cf 9b f4 b7 6f,120.4052,120.40484378180777,10,0.0
0XB3,2,07 2f,120.6232,120.62279588021545,10,0.0
0XA1,2,30 80,121.3977,121.3974578496668,5,0.0
0XA4,2,cc 00,122.1977,122.19704686403954,5,0.0
0XA5,1,20,122.3031,122.30278576353224,5,0.0
0XB2,1,25,123.1016,123.10147569319332,10,0.0
0XA0,1,d7,123.4446,123.44421851525048,5,0.0
0XA3,1,85,123.6536,123.6530992777164,5,0.0
0XB4,2,aa 7c,126.1192,126.11897084814144,10,0.0
0XA1,2,30 80,126.3977,126.3974578496668,5,0.0
0XA4,2,cc 00,127.1977,127.19704686403954,5,0.0
0XA5,1,20,127.3031,127.30278576353224,5,0.0
0XA0,1,d7,128.4446,128.44421851525047,5,0.0
0XA3,1,85,128.6536,128.6530992777164,5,0.0
0XB0,6,f8 cf 9b f4 b7 6f,130.4052,130.40484378180778,10,0.0
0XB3,2,07 2f,130.6232,130.62279588021545,10,0.0
0XA1,2,30 80,131.3977,131.39745784966678,5,0.0
0XA4,2,cc 00,132.1977,132.19704686403955,5,0.0
0XA5,1,20,132.3031,132.30278576353226,5,0.0
0XB2,1,25,133.1016,133.10147569319332,10,0.0
0XA0,1,d7,133.4446,133.44421851525047,5,0.0
0XA3,1,85,133.6536,133.6530992777164,5,0.0
0XB4,2,aa 7c,136.1192,136.11897084814146,10,0.0
0XA1,2,30 80,136.3977,136.39745784966678,5,0.0
0XA4,2,cc 00,137.1977,137.19704686403955,5,0.0
0XA5,1,20,137.3031,137.30278576353226,5,0.0
0XA0,1,d7,138.4446,138.44421851525047,5,0.0
0XA3,1,85,138.6536,138.6530992777164,5,0.0
0XB0,6,f8 cf 9b f4 b7 6f,140.4052,140.40484378180778,10,0.0
0XB3,2,07 2f,140.6232,140.62279588021545,10,0.0
0XA1,2,30 80,141.3977,141.39745784966678,5,0.0
0XA4,2,cc 00,142.1977,142.19704686403955,5,0.0
0XA5,1,20,142.3031,142.30278576353226,5,0.0
0XB2,1,25,143.1016,143.10147569319332,10,0.0
0XA0,1,d7,143.4446,143.44421851525047,5,0.0
0XA3,1,85,143.6536,143.6530992777164,5,0.0
0XB4,2,aa 7c,146.1192,146.11897084814146,10,0.0
0XA1,2,30 80,146.3976,146.39745784966678,5,0.0
0XA4,2,cc 00,147.1976,147.19704686403955,5,0.0
0XA5,1,20,147.3031,147.30278576353226,5,0.0
0XA0,1,d7,148.4446,148.44421851525047,5,0.0
0XA3,1,85,148.6536,148.6530992777164,5,0.0
0XB0,6,f8 cf 9b f4 b7 6f,150.4052,150.40484378180778,10,0.0
0XB3,2,07 2f,150.6231,150.62279588021545,10,0.0
0XA1,2,30 80,151.3976,151.39745784966678,5,0.0
0XA4,2,cc 00,152.1976,152.19704686403955,5,0.0
0XA5,1,20,152.3031,152.30278576353226,5,0.0
0XB2,1,25,153.1016,153.10147569319332,10,0.0
0XA0,1,d7,153.4446,153.44421851525047,5,0.0
0XA3,1,85,153.6536,153.6530992777164,5,0.0
0XB4,2,aa 7c,156.1191,156.11897084814146,10,0.0
0XA1,2,30 80,156.3976,156.39745784966678,5,0.0
0XA4,2,cc 00,157.1976,157.19704686403955,5,0.0
0XA5,1,20,157.3031,157.30278576353226,5,0.0
0XA0,1,d7,158.4446,158.44421851525047,5,0.0
0XA3,1,85,158.6536,158.6530992777164,5,0.0
0XB0,6,f8 cf 9b f4 b7 6f,160.4052,160.40484378180778,10,0.0
0XB3,2,07 2f,160.6231,160.62279588021545,10,0.0
